[2026-07-16 18:54:27] [INFO    ] discord.client: logging in using static token
[2026-07-16 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-07-16 18:54:28] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-07-16 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1427112440100950146', 'username': 'Diva', 'avatar': '134e48d079d6aabbe0af386d6d75884b', 'discriminator': '0775', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-07-16 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-07-16 18:54:28] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-07-16 18:54:28] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1427112440100950146', 'name': 'Diva', 'icon': '134e48d079d6aabbe0af386d6d75884b', 'description': 'amiga :D', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1427112440100950146', 'username': 'Diva', 'avatar': '134e48d079d6aabbe0af386d6d75884b', 'discriminator': '0775', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'fa1434a893a6d0ee47cb2cb6508798caf336207eb02a6595ce9ceccb0d585f2e', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '771902416085975110', 'username': 'mdspqpqmundo', 'avatar': '794872ee14a4a32afe0b23eff2dd58b9', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': '6ond9', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '1242297152970166282', 'identity_enabled': True, 'tag': 'PUNK', 'badge': '310d9b669d687de773b5f3b5310ca1f3'}, 'primary_guild': {'identity_guild_id': '1242297152970166282', 'identity_enabled': True, 'tag': 'PUNK', 'badge': '310d9b669d687de773b5f3b5310ca1f3'}}, 'approximate_guild_count': 2, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 2, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-07-16 18:54:29] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-07-16 18:54:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-s9mf",{"micros":0.0}]']}}
[2026-07-16 18:54:29] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-07-16 18:54:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-07-16 18:54:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Diva', 'primary_guild': None, 'mfa_enabled': False, 'id': '1427112440100950146', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0775', 'clan': None, 'bot': True, 'avatar': '134e48d079d6aabbe0af386d6d75884b'}, 'session_type': 'normal', 'session_id': 'b2f2eb14fe816b493ad1c53eb6f76529', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1053754096928161873'}, {'unavailable': True, 'id': '1297670153969860680'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['brazil', 'santiago', 'buenos-aires', 'atlanta', 'us-east'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1427112440100950146', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-s9mf",{"micros":147688,"calls":["id_created",{"micros":830,"calls":[]},"session_lookup_time",{"micros":3606,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"sessions-prd-gcp-us-east1-d-68",{"micros":142697,"calls":["start_session",{"micros":101665,"calls":["prd-rpc-d5fb6fc5b-lz8wx",{"micros":25879,"calls":["get_user",{"micros":5449},"get_guilds",{"micros":2813},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":156},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1628},"apex_experiments",{"micros":64085},"sessions_experiments",{"micros":13},"played_application_ids",{"micros":5},"linked_users",{"micros":5},"ad_personalization_toggles_disabled",{"micros":8},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":37,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"presence_started",{"micros":2684,"calls":[]},"guilds_started",{"micros":152,"calls":[]},"guilds_connect",{"micros":3,"calls":[]},"presence_connect",{"micros":38097,"calls":[]},"connect_finished",{"micros":38135,"calls":[]},"build_ready",{"micros":19,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-07-16 18:54:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-07-16 18:54:30] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b2f2eb14fe816b493ad1c53eb6f76529).
[2026-07-16 18:54:30] [DEBUG   ] discord.client: Dispatching event connect
